id,name,year,month,val,vol,unit_value
Artichokes -2012-09,Artichokes,2012.0,9.0,284.0,363.0,0.78
Carrots -2016-01,Carrots,2016.0,1.0,8018.0,16816.0,0.48
Peppers ⁿ-2012-07,Peppers ⁿ,2012.0,7.0,6776.0,11129.0,0.61
Vegetables other ⁿ-2016-12,Vegetables other ⁿ,2016.0,12.0,0.0,0.0,0.0
Tomatoes round -2013-01,Tomatoes round,2013.0,1.0,9821.0,17593.0,0.56
Pumpkin/squash/gourds -2016-03,Pumpkin/squash/gourds,2016.0,3.0,1915.0,4436.0,0.43
Garlic -2013-01,Garlic,2013.0,1.0,1136.0,1342.0,0.85
Truffles -2013-09,Truffles,2013.0,9.0,45.0,51.0,0.89
Peppers ⁿ-2016-10,Peppers ⁿ,2016.0,10.0,0.0,0.0,0.0
Cauliflower -2012-07,Cauliflower,2012.0,7.0,8103.0,21477.0,0.38
Sweet corn -2014-06,Sweet corn,2014.0,6.0,9521.0,30686.0,0.31
Peppers ⁿ-2016-12,Peppers ⁿ,2016.0,12.0,0.0,0.0,0.0
Artichokes -2014-09,Artichokes,2014.0,9.0,200.0,227.0,0.88
Pumpkin/squash/gourds -2015-10,Pumpkin/squash/gourds,2015.0,10.0,2114.0,3917.0,0.54
Green peas -2014-11,Green peas,2014.0,11.0,1959.0,1730.0,1.13
Peppers ⁿ-2016-02,Peppers ⁿ,2016.0,2.0,5236.0,4274.0,1.23
Snap beans -2014-04,Snap beans,2014.0,4.0,4228.0,4834.0,0.87
Mushrooms Agaricus ⁿ-2015-11,Mushrooms Agaricus ⁿ,2015.0,11.0,2220.0,1058.0,2.1
Tomatoes roma (plum) -2013-02,Tomatoes roma (plum),2013.0,2.0,1189.0,2618.0,0.45
Potatoes -2012-06,Potatoes,2012.0,6.0,22497.0,101855.0,0.22
Tomatoes roma (plum) -2016-07,Tomatoes roma (plum),2016.0,7.0,0.0,0.0,0.0
Broccoli -2012-02,Broccoli,2012.0,2.0,10217.0,26153.0,0.39
Cauliflower -2013-03,Cauliflower,2013.0,3.0,13117.0,29420.0,0.45
Garlic -2016-09,Garlic,2016.0,9.0,0.0,0.0,0.0
Cucumbers -2014-05,Cucumbers,2014.0,5.0,1510.0,2877.0,0.52
Broccoli -2013-08,Broccoli,2013.0,8.0,9469.0,15748.0,0.6
Mushrooms other -2013-12,Mushrooms other,2013.0,12.0,1325.0,195.0,6.79
Asparagus -2012-08,Asparagus,2012.0,8.0,739.0,354.0,2.09
Sweet corn -2013-02,Sweet corn,2013.0,2.0,1848.0,4598.0,0.4
Sweet corn -2013-10,Sweet corn,2013.0,10.0,1905.0,5441.0,0.35
Endive/escarole -2016-08,Endive/escarole,2016.0,8.0,0.0,0.0,0.0
Cauliflower -2012-05,Cauliflower,2012.0,5.0,11855.0,33334.0,0.36
Peppers ⁿ-2013-03,Peppers ⁿ,2013.0,3.0,8301.0,11982.0,0.69
Broccoli -2014-03,Broccoli,2014.0,3.0,11787.0,24860.0,0.47
Cucumbers -2015-03,Cucumbers,2015.0,3.0,1215.0,2315.0,0.52
Lettuce other -2015-03,Lettuce other,2015.0,3.0,28321.0,39344.0,0.72
Mushrooms Agaricus ⁿ-2014-10,Mushrooms Agaricus ⁿ,2014.0,10.0,4423.0,2512.0,1.76
Endive/escarole -2012-03,Endive/escarole,2012.0,3.0,433.0,321.0,1.35
Pumpkin/squash/gourds -2012-11,Pumpkin/squash/gourds,2012.0,11.0,2509.0,6408.0,0.39
Brussels sprouts -2012-07,Brussels sprouts,2012.0,7.0,419.0,641.0,0.65
Cauliflower -2015-04,Cauliflower,2015.0,4.0,15167.0,25018.0,0.61
Pumpkin/squash/gourds -2016-01,Pumpkin/squash/gourds,2016.0,1.0,2215.0,4071.0,0.54
Asparagus -2012-07,Asparagus,2012.0,7.0,1177.0,546.0,2.15
Tomatoes roma (plum) -2014-09,Tomatoes roma (plum),2014.0,9.0,815.0,1625.0,0.5
Lettuce head ⁿ-2015-04,Lettuce head ⁿ,2015.0,4.0,8943.0,23829.0,0.38
Peppers ⁿ-2014-11,Peppers ⁿ,2014.0,11.0,7980.0,11135.0,0.72
Eggplant -2012-04,Eggplant,2012.0,4.0,1097.0,1823.0,0.6
Lettuce head ⁿ-2015-01,Lettuce head ⁿ,2015.0,1.0,8799.0,18603.0,0.47
Potatoes -2013-11,Potatoes,2013.0,11.0,14848.0,65542.0,0.23
Tomatoes cherry -2014-01,Tomatoes cherry,2014.0,1.0,1384.0,1445.0,0.96
Sweet corn -2013-05,Sweet corn,2013.0,5.0,12360.0,40052.0,0.31
Sweet corn -2015-12,Sweet corn,2015.0,12.0,1123.0,3078.0,0.36
Sweet corn -2016-09,Sweet corn,2016.0,9.0,0.0,0.0,0.0
Beets -2012-10,Beets,2012.0,10.0,1108.0,2420.0,0.46
Lettuce head ⁿ-2013-06,Lettuce head ⁿ,2013.0,6.0,9660.0,27885.0,0.35
Cauliflower -2013-08,Cauliflower,2013.0,8.0,8951.0,16176.0,0.55
Truffles -2012-05,Truffles,2012.0,5.0,0.0,0.0,0.0
Pumpkin/squash/gourds -2012-03,Pumpkin/squash/gourds,2012.0,3.0,1571.0,3076.0,0.51
Endive/escarole -2012-08,Endive/escarole,2012.0,8.0,498.0,436.0,1.14
Cucumbers -2015-08,Cucumbers,2015.0,8.0,894.0,1703.0,0.52
Mushrooms other -2014-03,Mushrooms other,2014.0,3.0,404.0,132.0,3.06
Onions bulb ⁿ-2013-08,Onions bulb ⁿ,2013.0,8.0,15979.0,67329.0,0.24
Sweet corn -2014-05,Sweet corn,2014.0,5.0,10352.0,33828.0,0.31
Artichokes -2015-11,Artichokes,2015.0,11.0,230.0,209.0,1.1
Beets -2012-02,Beets,2012.0,2.0,1482.0,3538.0,0.42
Sweet corn -2014-08,Sweet corn,2014.0,8.0,1358.0,3031.0,0.45
Mushrooms other -2015-11,Mushrooms other,2015.0,11.0,1742.0,296.0,5.89
Sweet corn -2016-02,Sweet corn,2016.0,2.0,859.0,1801.0,0.48
Spinach -2015-09,Spinach,2015.0,9.0,8332.0,4634.0,1.8
Sweet potatoes -2015-10,Sweet potatoes,2015.0,10.0,10932.0,32629.0,0.34
Peppers ⁿ-2012-08,Peppers ⁿ,2012.0,8.0,3046.0,4987.0,0.61
Broccoli -2016-09,Broccoli,2016.0,9.0,0.0,0.0,0.0
Tomatoes round -2013-08,Tomatoes round,2013.0,8.0,10232.0,15733.0,0.65
Sweet potatoes -2014-11,Sweet potatoes,2014.0,11.0,10008.0,28740.0,0.35
Spinach -2012-02,Spinach,2012.0,2.0,6616.0,5321.0,1.24
Carrots -2012-05,Carrots,2012.0,5.0,13312.0,27726.0,0.48
Carrots -2013-08,Carrots,2013.0,8.0,6718.0,11616.0,0.58
Cabbage -2013-04,Cabbage,2013.0,4.0,3360.0,10577.0,0.32
Snap beans -2014-08,Snap beans,2014.0,8.0,1487.0,1156.0,1.29
Snap beans -2012-03,Snap beans,2012.0,3.0,4063.0,4838.0,0.84
Carrots -2013-09,Carrots,2013.0,9.0,5694.0,9309.0,0.61
Spinach -2016-04,Spinach,2016.0,4.0,10904.0,7438.0,1.47
Garlic -2016-08,Garlic,2016.0,8.0,0.0,0.0,0.0
Tomatoes round -2013-12,Tomatoes round,2013.0,12.0,12582.0,17583.0,0.72
Onions bulb ⁿ-2014-06,Onions bulb ⁿ,2014.0,6.0,13233.0,42656.0,0.31
Cucumbers -2012-06,Cucumbers,2012.0,6.0,1936.0,3866.0,0.5
Broccoli -2016-03,Broccoli,2016.0,3.0,10974.0,22237.0,0.49
Eggplant -2016-02,Eggplant,2016.0,2.0,785.0,1199.0,0.66
Cucumbers -2014-01,Cucumbers,2014.0,1.0,1710.0,3248.0,0.53
Sweet corn -2014-04,Sweet corn,2014.0,4.0,7149.0,21533.0,0.33
Sweet corn -2013-09,Sweet corn,2013.0,9.0,1080.0,2477.0,0.44
Endive/escarole -2015-05,Endive/escarole,2015.0,5.0,713.0,744.0,0.96
Cucumbers -2015-06,Cucumbers,2015.0,6.0,1667.0,3176.0,0.52
Mushrooms Agaricus ⁿ-2013-10,Mushrooms Agaricus ⁿ,2013.0,10.0,5588.0,2924.0,1.91
Snap beans -2016-09,Snap beans,2016.0,9.0,0.0,0.0,0.0
